"i0","simulated_y","y","actual_response","cutoff","beta0","beta1","beta2","delta","modified_covariate","x2","eta","probability","residual","score_intercept","score_x1","score_x2","design_norm","score_norm","tukey_argument","robust_weight"
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.58,-39.6989925918435,0.042010562831985,-40.2199978732595,3.40939140115842e-18,-3.40939140115842e-18,-3.40939140115842e-18,1.35349403977283e-16,-1.43230451677195e-19,39.7116075939345,1.35392413456938e-16,1.35392413456938e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.57,-39.6889925918435,0.042010562831985,-40.2099978732595,3.44365635439538e-18,-3.44365635439538e-18,-3.44365635439538e-18,1.36675251538453e-16,-1.44669941648092e-19,39.7016107713881,1.36718704212623e-16,1.36718704212623e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.56,-39.6789925918435,0.042010562831985,-40.1999978732595,3.47826567613751e-18,-3.47826567613751e-18,-3.47826567613751e-18,1.38014077995924e-16,-1.46123898733711e-19,39.6916139504425,1.38057978434325e-16,1.38057978434325e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.55,-39.6689925918435,0.042010562831985,-40.1899978732595,3.51322282734583e-18,-3.51322282734583e-18,-3.51322282734583e-18,1.39366010311477e-16,-1.47592468330976e-19,39.6816171310989,1.39410363130974e-16,1.39410363130974e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.54,-39.6589925918435,0.042010562831985,-40.1799978732595,3.54853130376456e-18,-3.54853130376456e-18,-3.54853130376456e-18,1.40731176687924e-16,-1.49075797298067e-19,39.6716203133586,1.40775986553015e-16,1.40775986553015e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.53,-39.6489925918435,0.042010562831985,-40.1699978732595,3.58419463627079e-18,-3.58419463627079e-18,-3.58419463627079e-18,1.42109706581226e-16,-1.50574033969118e-19,39.6616234972227,1.42154978204537e-16,1.42154978204537e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.52,-39.6389925918435,0.042010562831985,-40.1599978732595,3.62021639122748e-18,-3.62021639122748e-18,-3.62021639122748e-18,1.43501730712737e-16,-1.52087328169044e-19,39.6516266826925,1.43547468855517e-16,1.43547468855517e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.51,-39.6289925918435,0.042010562831985,-40.1499978732595,3.65660017084018e-18,-3.65660017084018e-18,-3.65660017084018e-18,1.44907381081559e-16,-1.53615831228529e-19,39.6416298697692,1.44953590554181e-16,1.44953590554181e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.5,-39.6189925918435,0.042010562831985,-40.1399978732595,3.69334961351712e-18,-3.69334961351712e-18,-3.69334961351712e-18,1.46326790977023e-16,-1.55159695999148e-19,39.631633058454,1.46373476639493e-16,1.46373476639493e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.49,-39.6089925918435,0.042010562831985,-40.1299978732595,3.7304683942332e-18,-3.7304683942332e-18,-3.7304683942332e-18,1.47760094991289e-16,-1.56719076868668e-19,39.621636248748,1.47807261753759e-16,1.47807261753759e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.48,-39.5989925918435,0.042010562831985,-40.1199978732595,3.76796022489748e-18,-3.76796022489748e-18,-3.76796022489748e-18,1.49207429032076e-16,-1.58294129776476e-19,39.6116394406526,1.49255081855359e-16,1.49255081855359e-16,1
